language,Categories,voted_up,total_votes,vote_up_rate
brazilian,Includes level editor,1051,1118,0.9400715563506261
brazilian,LAN Co-op,655,700,0.9357142857142857
brazilian,Steam Cloud,6650,7258,0.9162303664921466
czech,Steam Cloud,395,417,0.947242206235012
czech,Single-player,592,638,0.9278996865203761
czech,Steam Trading Cards,414,448,0.9241071428571429
english,Includes Source SDK,1493,1533,0.9739073711676451
english,Commentary available,2074,2220,0.9342342342342342
english,Remote Play on Phone,28063,30806,0.910958904109589
french,Remote Play on TV,997,1082,0.9214417744916821
french,Includes level editor,462,502,0.9203187250996016
french,Remote Play on Phone,781,851,0.917743830787309
german,LAN Co-op,333,369,0.9024390243902439
german,Includes level editor,562,650,0.8646153846153846
german,Remote Play on Tablet,1473,1718,0.8573923166472642
hungarian,Single-player,320,334,0.9580838323353293
italian,Remote Play on Tablet,386,397,0.9722921914357683
italian,Remote Play on TV,303,318,0.9528301886792453
italian,Steam Cloud,692,734,0.9427792915531336
japanese,Includes level editor,494,518,0.9536679536679536
japanese,Steam Workshop,932,1003,0.9292123629112662
japanese,Remote Play on Tablet,1368,1487,0.9199731002017485
koreana,LAN Co-op,452,475,0.9515789473684211
koreana,Includes level editor,732,777,0.9420849420849421
koreana,Steam Workshop,1514,1681,0.9006543723973826
latam,Remote Play on Phone,329,351,0.9373219373219374
latam,Steam Cloud,609,650,0.936923076923077
latam,Steam Trading Cards,574,614,0.9348534201954397
polish,Remote Play Together,372,391,0.9514066496163683
polish,Steam Cloud,1973,2086,0.9458293384467881
polish,Remote Play on Tablet,1376,1459,0.9431117203564084
russian,Includes Source SDK,617,629,0.9809220985691574
russian,LAN Co-op,2125,2255,0.9423503325942351
russian,Includes level editor,4838,5152,0.9390527950310559
schinese,Includes Source SDK,1305,1328,0.9826807228915663
schinese,VR Support,1305,1373,0.9504734158776402
schinese,Commentary available,1754,1858,0.9440258342303552
spanish,LAN Co-op,809,851,0.9506462984723855
spanish,Remote Play on Phone,3954,4176,0.9468390804597702
spanish,Includes level editor,1350,1426,0.9467040673211781
tchinese,Includes level editor,322,343,0.9387755102040817
tchinese,Remote Play Together,365,402,0.9079601990049752
tchinese,Shared/Split Screen,298,329,0.9057750759878419
thai,Steam Cloud,480,508,0.9448818897637795
thai,Steam Trading Cards,488,522,0.9348659003831418
thai,Single-player,718,776,0.9252577319587629
turkish,Includes level editor,1032,1116,0.9247311827956989
turkish,LAN Co-op,592,645,0.9178294573643411
turkish,Steam Cloud,5869,6524,0.8996014714898835
ukrainian,Steam Cloud,1198,1278,0.9374021909233177
ukrainian,Remote Play on TV,486,519,0.9364161849710982
ukrainian,Remote Play on Phone,559,607,0.9209225700164745
