language,Genres,average_playtime,sample_count
brazilian,Free to Play,23174.45473574045,1911
brazilian,Massively Multiplayer,21997.669178598342,1327
brazilian,RPG,10308.974225526641,4035
czech,Action,9503.0044345898,451
czech,Adventure,6869.4662379421225,311
english,Massively Multiplayer,40034.34320751712,12558
english,Design & Illustration,34279.75040518639,1234
english,Animation & Modeling,30797.71599045346,1257
french,Massively Multiplayer,31680.77593360996,482
french,Free to Play,28389.521484375,512
french,RPG,13263.10582010582,1512
german,Free to Play,34053.91334488735,577
german,Massively Multiplayer,30579.53488372093,602
german,Action,14047.990519877676,3270
italian,RPG,8332.52380952381,378
italian,Simulation,7463.793333333333,300
italian,Action,6563.265449438202,712
japanese,Free to Play,28519.153246753245,385
japanese,Massively Multiplayer,21361.867741935483,310
japanese,Strategy,15717.782987273946,1493
koreana,Free to Play,28373.627670396745,983
koreana,Massively Multiplayer,26439.25972222222,720
koreana,Strategy,13682.968368730231,2213
latam,Action,7359.7794486215535,798
latam,RPG,7178.468842729971,337
latam,Adventure,4991.85816876122,557
polish,Free to Play,24086.93295019157,522
polish,Massively Multiplayer,21617.58116883117,308
polish,RPG,12332.968348170129,1011
russian,Massively Multiplayer,21172.712391304347,4600
russian,Free to Play,21037.18389261745,5960
russian,Utilities,19497.9375,512
schinese,Massively Multiplayer,16680.477973344186,9829
schinese,Free to Play,15351.869344351124,14764
schinese,Utilities,15185.5,1364
spanish,Massively Multiplayer,20402.470085470086,1287
spanish,Free to Play,14937.923789907312,1942
spanish,Strategy,9350.658067542214,2132
tchinese,Free to Play,27685.88786764706,544
tchinese,Massively Multiplayer,19064.569553805773,381
tchinese,RPG,10307.146382501402,1783
thai,Action,9362.732342007435,538
thai,Adventure,5862.2357142857145,420
thai,Indie,2650.347701149425,348
turkish,Massively Multiplayer,25656.38158995816,1195
turkish,Free to Play,25170.896350364965,1370
turkish,RPG,12060.859602649007,3020
ukrainian,Free to Play,12061.75075987842,329
ukrainian,Action,6153.809523809524,1617
ukrainian,Strategy,5896.877083333334,480
